"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Bagassi";"Département";"BFA.1.1.1_1";"BF.BO.BA.BG"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Bana";"Département";"BFA.1.1.2_1";"BF.BO.BA.BN"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Boromo";"Département";"BFA.1.1.3_1";"BF.BO.BA.BO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Fara";"Département";"BFA.1.1.4_1";"BF.BO.BA.FA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Oury";"Département";"BFA.1.1.5_1";"BF.BO.BA.OU"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Pa";"Département";"BFA.1.1.6_1";"BF.BO.BA.PA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Pompoï";"Département";"BFA.1.1.7_1";"BF.BO.BA.PP"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Poura";"Département";"BFA.1.1.8_1";"BF.BO.BA.PR"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Siby";"Département";"BFA.1.1.9_1";"BF.BO.BA.SI"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"BFA.1.1_1";"Yaho";"Département";"BFA.1.1.10_1";"BF.BO.BA.YA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Balavé";"Département";"BFA.1.2.1_1";"BF.BO.BW.SS"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Kouka";"Département";"BFA.1.2.2_1";"BF.BO.BW.KO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Sami";"Département";"BFA.1.2.3_1";"BF.BO.BW.SM"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Sanaba";"Département";"BFA.1.2.4_1";"BF.BO.BW.SB"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Solenzo";"Département";"BFA.1.2.5_1";"BF.BO.BW.SZ"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"BFA.1.2_1";"Tansila";"Département";"BFA.1.2.6_1";"BF.BO.BW.TA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Barani";"Département";"BFA.1.3.1_1";"BF.BO.KS.BA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Bomborokuy";"Département";"BFA.1.3.2_1";"BF.BO.KS.BB"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Bourasso";"Département";"BFA.1.3.3_1";"BF.BO.KS.BS"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Djibasso";"Département";"BFA.1.3.4_1";"BF.BO.KS.DJ"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Dokuy";"Département";"BFA.1.3.5_1";"BF.BO.KS.DK"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Doumbala";"Département";"BFA.1.3.6_1";"BF.BO.KS.DL"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Kombori";"Département";"BFA.1.3.7_1";"BF.BO.KS.KO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Madouba";"Département";"BFA.1.3.8_1";"BF.BO.KS.MA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Nouna";"Département";"BFA.1.3.9_1";"BF.BO.KS.NO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"BFA.1.3_1";"Sono";"Département";"BFA.1.3.10_1";"BF.BO.KS.SO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Mouhoun";"BFA.1.4_1";"Bondokuy";"Département";"BFA.1.4.1_1";"BF.BO.MO.BO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Mouhoun";"BFA.1.4_1";"Dedougou";"Département";"BFA.1.4.2_1";"BF.BO.MO.DE"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Mouhoun";"BFA.1.4_1";"Douroula";"Département";"BFA.1.4.3_1";"BF.BO.MO.DO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Mouhoun";"BFA.1.4_1";"Kona";"Département";"BFA.1.4.4_1";"BF.BO.MO.KO"
